iter	Recall	Logloss
0	0.7384191176	0.6687543108
1	0.7080882353	0.6441678117
2	0.7080882353	0.6221074679
3	0.6797794118	0.6015553431
4	0.6840073529	0.5824341341
5	0.6854779412	0.5654244861
6	0.6867647059	0.5512075098
7	0.6854779412	0.5341513805
8	0.6821691176	0.5177682438
9	0.6819852941	0.5082104115
10	0.6829044118	0.4945882173
11	0.6825367647	0.4811347806
12	0.6836397059	0.464876802
13	0.6827205882	0.4528512473
14	0.6818014706	0.4385349397
15	0.6838235294	0.4280831714
16	0.6818014706	0.420901805
17	0.6818014706	0.411815798
18	0.6819852941	0.4013356094
19	0.6851102941	0.3924908404
20	0.6862132353	0.3813955887
21	0.6863970588	0.3726299374
22	0.6871323529	0.3630929672
23	0.6876838235	0.3536669183
24	0.6871323529	0.3463339013
25	0.6873161765	0.3377698726
26	0.6884191176	0.3298265824
27	0.6904411765	0.3233321435
28	0.690625	0.3172166799
29	0.690625	0.3102447034
30	0.6913602941	0.3046070695
31	0.6924632353	0.2993459425
32	0.6922794118	0.2949146321
33	0.6931985294	0.291485827
34	0.6931985294	0.2869929062
35	0.6928308824	0.2816698363
36	0.6931985294	0.2771935841
37	0.6943014706	0.2732541201
38	0.6957720588	0.2690259733
39	0.6957720588	0.2665005821
40	0.696875	0.2624657496
41	0.696875	0.2591242434
42	0.6976102941	0.2551851885
43	0.6976102941	0.2523184365
44	0.6981617647	0.2493985551
45	0.7	0.2468208435
46	0.6996323529	0.2434692327
47	0.7	0.2403897841
48	0.7009191176	0.238253635
49	0.7012867647	0.2359372816
50	0.7018382353	0.233710722
51	0.7018382353	0.2310871792
52	0.7020220588	0.2286581703
53	0.7022058824	0.2264845729
54	0.7034926471	0.2243003394
55	0.7047794118	0.2222442933
56	0.7047794118	0.2203322904
57	0.7060661765	0.2184410503
58	0.70625	0.2166243076
59	0.7064338235	0.2149279487
60	0.7066176471	0.2133449211
61	0.7068014706	0.2116184264
62	0.7075367647	0.2104575094
63	0.7097426471	0.2090546417
64	0.7102941176	0.2078887975
65	0.7104779412	0.2068992818
66	0.7115808824	0.2055793613
67	0.7130514706	0.2044848848
68	0.7154411765	0.2032050876
69	0.7170955882	0.2020585831
70	0.7178308824	0.2009906747
71	0.7174632353	0.2000095259
72	0.7180147059	0.1990162034
73	0.7194852941	0.1981911192
74	0.7200367647	0.1971869947
75	0.7213235294	0.1962951903
76	0.7222426471	0.1953602933
77	0.7240808824	0.194533006
78	0.725	0.1937017847
79	0.7259191176	0.1930609319
80	0.7275735294	0.1922896948
81	0.7273897059	0.1916441295
82	0.7277573529	0.1911231398
83	0.7290441176	0.1904569975
84	0.7305147059	0.1897666539
85	0.7314338235	0.189229409
86	0.7327205882	0.1886129611
87	0.7332720588	0.1880987458
88	0.7341911765	0.187516661
89	0.7345588235	0.1869825058
90	0.7351102941	0.1864365867
91	0.7352941176	0.1859550606
92	0.7356617647	0.185460363
93	0.7365808824	0.184861442
94	0.7371323529	0.1842787366
95	0.7378676471	0.1837030223
96	0.7380514706	0.183210088
97	0.7387867647	0.182709613
98	0.7384191176	0.1822480437
99	0.7389705882	0.1818251743
100	0.7393382353	0.1813966113
101	0.7404411765	0.1808878042
102	0.7404411765	0.180488454
103	0.7413602941	0.1800890172
104	0.7417279412	0.1797332648
105	0.7422794118	0.1793305332
106	0.7422794118	0.1789752984
107	0.7428308824	0.178666147
108	0.7428308824	0.1782723405
109	0.7431985294	0.177866506
110	0.74375	0.1775600055
111	0.7443014706	0.1772363222
