iter	Passed	Remaining
0	8	4065
1	14	3545
2	19	3273
3	25	3106
4	30	3046
5	36	2980
6	41	2900
7	46	2856
8	51	2815
9	57	2804
10	62	2798
11	68	2792
12	74	2778
13	80	2789
14	86	2781
15	91	2776
16	97	2766
17	102	2753
18	108	2742
19	113	2735
20	119	2725
21	124	2712
22	130	2699
23	135	2686
24	141	2690
25	147	2690
26	153	2682
27	158	2678
28	164	2668
29	169	2658
30	175	2652
31	181	2648
32	187	2652
33	193	2654
34	199	2650
35	205	2645
36	210	2638
37	216	2636
38	222	2635
39	228	2629
40	234	2621
41	239	2609
42	245	2605
43	250	2600
44	256	2590
45	261	2583
46	266	2572
47	272	2565
48	278	2560
49	284	2556
50	289	2551
51	295	2548
52	301	2542
53	307	2535
54	312	2528
55	317	2521
56	323	2514
57	329	2509
58	335	2504
59	340	2500
60	346	2495
61	352	2492
62	358	2487
63	364	2482
64	370	2478
65	375	2472
66	381	2466
67	387	2460
68	393	2455
69	398	2449
70	404	2443
71	410	2437
72	416	2434
73	422	2430
74	427	2423
75	433	2418
76	438	2411
77	444	2407
78	450	2402
79	456	2397
80	462	2392
81	468	2388
82	474	2381
83	480	2378
84	486	2373
85	491	2367
86	497	2363
87	503	2357
88	509	2352
89	515	2346
90	521	2341
91	527	2337
92	532	2332
93	538	2327
94	544	2321
95	550	2316
96	556	2312
97	562	2306
98	568	2301
99	574	2296
100	580	2291
101	585	2285
102	591	2279
103	597	2275
104	603	2270
105	609	2264
106	615	2260
107	621	2255
108	627	2249
109	632	2243
110	638	2238
111	644	2232
112	649	2225
113	655	2220
114	661	2214
115	667	2210
116	673	2204
117	679	2198
118	685	2193
119	691	2188
120	696	2182
121	702	2177
122	708	2171
123	714	2166
124	720	2161
125	726	2156
126	732	2151
127	738	2146
128	744	2140
129	750	2135
130	756	2130
131	762	2124
132	768	2119
133	773	2114
134	779	2108
135	785	2102
136	791	2096
137	796	2090
138	802	2084
139	807	2077
140	813	2071
141	818	2064
142	824	2057
143	829	2050
144	835	2045
145	840	2038
146	845	2031
147	851	2024
148	856	2016
149	861	2010
150	866	2003
151	872	1996
152	877	1990
153	883	1984
154	889	1979
155	895	1974
156	900	1967
157	905	1960
158	911	1954
159	916	1948
160	922	1941
161	927	1935
162	932	1928
163	938	1921
164	943	1915
165	948	1909
166	954	1903
167	959	1896
168	965	1890
169	970	1883
170	975	1877
171	980	1870
172	986	1865
173	992	1858
174	997	1853
175	1003	1847
176	1009	1841
177	1014	1835
178	1020	1830
179	1026	1824
180	1031	1817
181	1036	1811
182	1041	1804
183	1046	1797
184	1052	1791
185	1057	1785
186	1062	1779
187	1068	1772
188	1073	1766
189	1078	1760
190	1084	1754
191	1090	1748
192	1095	1742
193	1100	1735
194	1105	1729
195	1110	1723
196	1115	1716
197	1121	1710
198	1126	1704
199	1131	1697
200	1137	1691
201	1142	1685
202	1148	1680
203	1154	1675
204	1159	1669
205	1165	1663
206	1170	1657
207	1176	1651
208	1182	1645
209	1187	1640
210	1193	1634
211	1199	1628
212	1204	1622
213	1209	1617
214	1215	1611
215	1221	1605
216	1227	1600
217	1232	1594
218	1237	1588
219	1243	1582
220	1249	1577
221	1255	1571
222	1260	1566
223	1266	1560
224	1271	1554
225	1277	1549
226	1284	1544
227	1290	1539
228	1295	1533
229	1301	1528
230	1307	1522
231	1313	1516
232	1318	1511
233	1324	1505
234	1330	1500
235	1335	1494
236	1341	1488
237	1347	1482
238	1352	1477
239	1358	1471
240	1364	1466
241	1370	1460
242	1375	1455
243	1381	1449
244	1386	1443
245	1391	1437
246	1396	1430
247	1401	1424
248	1407	1418
249	1412	1412
250	1417	1406
251	1423	1400
252	1428	1394
253	1433	1388
254	1438	1382
255	1444	1376
256	1449	1370
257	1455	1364
258	1460	1358
259	1465	1352
260	1471	1347
261	1476	1341
262	1481	1335
263	1487	1329
264	1492	1323
265	1497	1317
266	1503	1311
267	1508	1305
268	1514	1300
269	1519	1294
270	1524	1287
271	1529	1281
272	1534	1276
273	1540	1270
274	1545	1264
275	1551	1258
276	1556	1252
277	1561	1247
278	1566	1241
279	1572	1235
280	1577	1229
281	1582	1223
282	1587	1217
283	1593	1211
284	1599	1206
285	1607	1203
286	1614	1198
287	1622	1194
288	1629	1189
289	1635	1184
290	1641	1179
291	1647	1173
292	1652	1167
293	1657	1161
294	1663	1155
295	1668	1149
296	1673	1143
297	1678	1138
298	1684	1132
299	1689	1126
300	1695	1120
301	1700	1114
302	1706	1109
303	1711	1103
304	1716	1097
305	1721	1091
306	1726	1085
307	1732	1079
308	1737	1074
309	1742	1068
310	1748	1062
311	1754	1057
312	1760	1051
313	1765	1046
314	1771	1040
315	1777	1034
316	1783	1029
317	1788	1023
318	1794	1018
319	1799	1012
320	1805	1006
321	1810	1001
322	1816	995
323	1822	989
324	1828	984
325	1833	978
326	1839	972
327	1844	967
328	1849	961
329	1854	955
330	1859	949
331	1863	943
332	1868	937
333	1873	931
334	1879	925
335	1884	919
336	1889	914
337	1895	908
338	1900	902
339	1906	897
340	1912	891
341	1917	885
342	1923	880
343	1928	874
344	1934	869
345	1939	863
346	1944	857
347	1949	851
348	1955	846
349	1960	840
350	1966	834
351	1971	828
352	1976	823
353	1982	817
354	1987	811
355	1992	806
356	1998	800
357	2003	794
358	2009	789
359	2014	783
360	2020	777
361	2026	772
362	2031	766
363	2037	761
364	2043	755
365	2049	750
366	2054	744
367	2060	739
368	2066	733
369	2072	728
370	2077	722
371	2083	716
372	2089	711
373	2094	705
374	2100	700
375	2105	694
376	2111	688
377	2116	683
378	2122	677
379	2128	672
380	2133	666
381	2139	660
382	2144	655
383	2150	649
384	2155	643
385	2161	638
386	2167	632
387	2172	627
388	2178	621
389	2184	616
390	2189	610
391	2195	604
392	2200	599
393	2205	593
394	2211	587
395	2216	582
396	2221	576
397	2227	570
398	2232	565
399	2237	559
400	2243	553
401	2248	548
402	2254	542
403	2259	536
404	2265	531
405	2270	525
406	2275	520
407	2281	514
408	2286	508
409	2291	503
410	2296	497
411	2302	491
412	2307	486
413	2312	480
414	2318	474
415	2323	469
416	2329	463
417	2334	457
418	2340	452
419	2345	446
420	2350	441
421	2356	435
422	2361	429
423	2366	424
424	2371	418
425	2376	412
426	2382	407
427	2387	401
428	2393	396
429	2398	390
430	2403	384
431	2408	379
432	2413	373
433	2418	367
434	2424	362
435	2429	356
436	2434	350
437	2439	345
438	2445	339
439	2450	334
440	2456	328
441	2461	322
442	2466	317
443	2472	311
444	2477	306
445	2482	300
446	2488	295
447	2493	289
448	2498	283
449	2503	278
450	2508	272
451	2514	266
452	2519	261
453	2524	255
454	2529	250
455	2535	244
456	2540	239
457	2545	233
458	2550	227
459	2555	222
460	2561	216
461	2566	211
462	2571	205
463	2577	199
464	2582	194
465	2587	188
466	2592	183
467	2598	177
468	2603	172
469	2608	166
470	2613	160
471	2618	155
472	2623	149
473	2629	144
474	2634	138
475	2639	133
476	2644	127
477	2649	121
478	2655	116
479	2660	110
480	2665	105
481	2671	99
482	2676	94
483	2682	88
484	2687	83
485	2692	77
486	2698	72
487	2703	66
488	2708	60
489	2714	55
490	2719	49
491	2725	44
492	2730	38
493	2735	33
494	2740	27
495	2745	22
496	2750	16
497	2755	11
498	2761	5
499	2766	0
